,Song,Artist
0,As It Was,Harry Styles
1,First Class,Jack Harlow
2,Wait For U,Future Featuring Drake & Tems
3,Running Up That Hill (A Deal With God),Kate Bush
4,About Damn Time,Lizzo
5,Heat Waves,Glass Animals
6,Big Energy,Latto
7,Me Porto Bonito,Bad Bunny & Chencho Corleone
8,I Like You (A Happier Song),Post Malone Featuring Doja Cat
9,Titi Me Pregunto,Bad Bunny
10,Stay,The Kid LAROI & Justin Bieber
11,Cooped Up,Post Malone Featuring Roddy Ricch
12,Wasted On You,Morgan Wallen
13,Enemy,Imagine Dragons X JID
14,Late Night Talking,Harry Styles
15,Ghost,Justin Bieber
16,Boyfriend,Dove Cameron
17,Moscow Mule,Bad Bunny
18,Bad Habits,Ed Sheeran
19,Woman,Doja Cat
20,Numb Little Bug,Em Beihold
21,Take My Name,Parmalee
22,Bam Bam,Camila Cabello Featuring Ed Sheeran
23,Super Gremlin,Kodak Black
24,Cold Heart (PNAU Remix),Elton John & Dua Lipa
25,Thats What I Want,Lil Nas X
26,Sweetest Pie,Megan Thee Stallion & Dua Lipa
27,Shivers,Ed Sheeran
28,Provenza,Karol G
29,Party,Bad Bunny & Rauw Alejandro
30,You Proof,Morgan Wallen
31,AA,Walker Hayes
32,Despues de La Playa,Bad Bunny
33,One Right Now,Post Malone & The Weeknd
34,Ojitos Lindos,Bad Bunny & Bomba Estereo
35,Puffin On Zootiez,Future
36,Something In The Orange,Zach Bryan
37,Trouble With A Heartbreak,Jason Aldean
38,Distraction,Polo G
39,Efecto,Bad Bunny
40,MAMIII,Becky G X Karol G
41,Thousand Miles,The Kid LAROI
42,'Til You Can't,Cody Johnson
43,Get Into It (Yuh),Doja Cat
44,Damn Strait,Scotty McCreery
45,I Cannot Be (A Sadder Song),Post Malone Featuring Gunna
46,Wrapped Around Your Finger,Post Malone
47,In A Minute,Lil Baby
48,Hold My Hand,Lady Gaga
49,Sleazy Flow,SleazyWorld Go Featuring Lil Baby
50,2step,Ed Sheeran Featuring Lil Baby
51,Fall In Love,Bailey Zimmerman
52,Lemon Tree,Post Malone
53,Reputation,Post Malone
54,To The Moon!,JNR CHOI & Sam Tompkins
55,Wasting Angels,Post Malone Featuring The Kid LAROI
56,Silent Hill,Kendrick Lamar & Kodak Black
57,Music For A Sushi Restaurant,Harry Styles
58,N95,Kendrick Lamar
59,Like I Love Country Music,Kane Brown
60,She's All I Wanna Be,Tate McRae
61,Insane,Post Malone
62,What Happened To Virgil,Lil Durk Featuring Gunna
63,When You're Gone,Shawn Mendes
64,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer"
65,Tarot,Bad Bunny & Jhay Cortez
66,Un Ratito,Bad Bunny
67,If I Was A Cowboy,Miranda Lambert
68,True Love,Kanye West & XXXTENTACION
69,Love/Hate Letter To Alcohol,Post Malone Featuring Fleet Foxes
70,Matilda,Harry Styles
71,Sunroof,Nicky Youre & dazy
72,Daylight,Harry Styles
73,Right On,Lil Baby
74,Vegas,Doja Cat
75,Thought You Should Know,Morgan Wallen
76,Die Young,Sleepy Hallow Featuring 347aidan
77,Flower Shops,ERNEST Featuring Morgan Wallen
78,Freaky Deaky,Tyga X Doja Cat
79,She Likes It,Russell Dickerson & Jake Scott
80,Hotel Lobby (Unc And Phew),Quavo & Takeoff
81,Ghost Story,Carrie Underwood
82,Slow Down Summer,Thomas Rhett
83,Circles Around This Town,Maren Morris
84,Yo No Soy Celoso,Bad Bunny
85,She Had Me At Heads Carolina,Cole Swindell
86,Potion,"Calvin Harris, Dua Lipa & Young Thug"
87,Te Felicito,Shakira & Rauw Alejandro
88,DFMU,Ella Mai
89,Little Freak,Harry Styles
90,Grapejuice,Harry Styles
91,Last Night Lonely,Jon Pardi
92,La Corriente,Bad Bunny & Tony Dize
93,Satellite,Harry Styles
94,Plan B,Megan Thee Stallion
95,Neverita,Bad Bunny
96,When I'm Alone,Post Malone
97,7500 OBO,Tim McGraw
98,F.N.F. (Let's Go),Hitkidd & Glorilla
99,Euthanasia,Post Malone
