song_id,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON,0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,199080,4,1
0B9x2BRHqj3Qer7biM3pU3,You're The One That I Want - From “Grease”,John Travolta and Olivia Newton-John,0.758,0.612,0,-11.403,1,0.0598,0.281,0.00288,0.0954,0.822,106.945,169840,4,1
68y6OIiE1nDdI1MLQdJNh8,I Want It That Way,Backstreet Boys,0.683,0.687,6,-5.833,0,0.0274,0.24,0,0.131,0.502,99.035,213027,4,1
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,Miley Cyrus,0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067,4,1
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction,0.726,0.787,4,-2.494,1,0.0737,0.009,0,0.0596,0.888,124.99,199987,4,1
6JY1IdkZGeIcPegKxjSKeb,Since U Been Gone,Kelly Clarkson,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,188960,4,1
4w3tQBXhn5345eUXDGBWZG,9 to 5,Dolly Parton,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,4,1
1FHNctV68GUNLgXclG2DtR,Dancing in the Moonlight,Toploader,0.639,0.845,0,-3.333,0,0.0372,0.0528,0,0.336,0.871,119.48,233373,4,1
77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',Journey,0.491,0.802,4,-7.106,1,0.0392,0.25,0,0.387,0.472,119.25,248907,4,1
1D1nixOVWOxvNfWi0UD7VX,Unwritten,Natasha Bedingfield,0.706,0.8,5,-6.333,1,0.0399,0.00584,0,0.0822,0.629,100.011,259333,4,1
