Title,Artists,Album,Album Release Date
Mi gran noche,['Raphael'],Digan Lo Que Digan: Banda Sonora Original De La Pe,1967-12-30
Danza Kuduro,"['Don Omar', 'Lucenzo']",Meet The Orphans,2010-01-01
La Gozadera (feat. Marc Anthony),"['Gente De Zona', 'Marc Anthony']",Visualízate,2016-04-22
Física o química,['Despistaos'],Lo que hemos vivido,2008-10-14
(I Can't Get No) Satisfaction - Mono Version,['The Rolling Stones'],Out Of Our Heads,1965-07-30
Callaita,"['Bad Bunny', 'Tainy']",Callaita,2019-05-31
Old Town Road - Remix,"['Lil Nas X', 'Billy Ray Cyrus']",7 EP,2019-06-21
"Yo x Ti, Tu x Mi","['ROSALÍA', 'Ozuna']","Yo x Ti, Tu x Mi",2019-08-15
Bamboléo,['Gipsy Kings'],Gipsy Kings,1987-02-23
Volare (Nel Blu di Pinto di Blu),['Gipsy Kings'],Mosaïque,1989-08-02
"Djobi, Djoba",['Gipsy Kings'],Gipsy Kings,1987-02-23
Hotel California - Spanish Mix,['Gipsy Kings'],The Essential Gipsy Kings,1999-08-03
A Mi Manera (Comme D'Habitude),['Gipsy Kings'],Gipsy Kings,1987-02-23
Mi rumbita pa tus pies - 2003 Remastered Version,['Melendi'],Sin Noticias De Holanda,2006-07-03
Hablando en plata - 2003 Remastered Version,['Melendi'],Sin Noticias De Holanda,2006-07-03
Vuelvo A Traficar - 2006 Remastered Version,['Melendi'],Sin Noticias De Holanda,2006-07-03
Caminando por la vida,['Melendi'],Que El Cielo Espere Sentao..,2005
Como Camarón,['Estopa'],Estopa,1999-10-18
Tu Calorro,['Estopa'],Estopa,1999-10-18
Por la Raja de Tu Falda,['Estopa'],Estopa,1999-10-18
Vino Tinto,['Estopa'],Destrangis,2001-10-23
Never Really Over,['Katy Perry'],Never Really Over,2019-05-31
Con Calma - Remix,"['Daddy Yankee', 'Katy Perry', 'Snow']",Con Calma (Remix),2019-04-19
Dark Horse,"['Katy Perry', 'Juicy J']",PRISM (Deluxe),2013-10-18
Swish Swish,"['Katy Perry', 'Nicki Minaj']",Witness (Deluxe),2017-06-09
Bon Appétit,"['Katy Perry', 'Migos']",Witness (Deluxe),2017-06-09
California Gurls,"['Katy Perry', 'Snoop Dogg']",Teenage Dream: The Complete Confection,2012-03-12
Last Friday Night (T.G.I.F.),"['Katy Perry', 'Missy Elliott', 'Dr. Luke', 'Cirkut', 'Dream Machine']",Teenage Dream: The Complete Confection,2012-03-12
I Kissed A Girl,['Katy Perry'],One Of The Boys,2008-06-17
Hot N Cold,['Katy Perry'],One Of The Boys,2008-06-17
Lola Bunny,"['Lola Indigo', 'Don Patricio']",Lola Bunny,2019-07-30
Contando Lunares (feat. Cruz Cafuné),"['Don Patricio', 'Cruz Cafuné']",La Dura Vida del Joven Rapero,2019-01-27
Con Altura,"['ROSALÍA', 'J Balvin', 'El Guincho']",Con Altura,2019-03-28
El Anillo,['Jennifer Lopez'],El Anillo,2018-04-26
El aire de la calle,['Los Delinquentes'],El Sentimiento Garrapatero Que Nos Traen Las Flores,2001
Bamboléo,['Gipsy Kings'],Gipsy Kings,1987-02-23
Marta tiene un marcapasos,['Hombres G'],La Cagaste... Burt Lancaster,1986
Medley,['Gipsy Kings'],Greatest Hits,1994-06-23
Amigos para Siempre,['Los Manolos'],Dulce Veneno,1992-06-23
China,"['Anuel AA', 'Daddy Yankee', 'KAROL G', 'J Balvin', 'Ozuna']",China,2019-07-19
RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']",RITMO (Bad Boys For Life),2019-10-12
Baila Conmigo (feat. Kelly Ruiz),"['Dayvi', 'Victor Cardenas', 'Kelly Ruíz']",Baila Conmigo (feat. Kelly Ruiz),2018-12-28
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28
Que Calor (with J Balvin & El Alfa),"['Major Lazer', 'J Balvin', 'El Alfa', 'Diplo']",Que Calor (with J Balvin & El Alfa),2019-09-11
Alocao (With Bad Gyal),"['Omar Montes', 'Bad Gyal']",Alocao (With Bad Gyal),2019-10-24
Blanco,['J Balvin'],Blanco,2019-11-15
Electricity (with Dua Lipa),"['Silk City', 'Dua Lipa', 'Diplo', 'Mark Ronson']",Electricity (with Dua Lipa),2018-09-06
One Kiss (with Dua Lipa),"['Calvin Harris', 'Dua Lipa']",One Kiss (with Dua Lipa),2018-04-06
Rueda,['Chimbala'],Rueda,2019-07-19
Late Night Feelings - Jax Jones Midnight Snack Remix,"['Mark Ronson', 'Lykke Li', 'Jax Jones']",Late Night Feelings (Jax Jones Midnight Snack Remix),2019-05-10
"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)","['Steve Aoki', 'Daddy Yankee', 'Play-N-Skillz', 'Elvis Crespo']","Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo) (feat. Elvis Crespo)",2018-02-02
"Theme from New York, New York",['Frank Sinatra'],Sinatra: Best Of The Best,2011-11-11
I Will Survive - Single Version,['Gloria Gaynor'],Hits of the 70's,1993-01-01
Flashdance… What A Feeling,['Irene Cara'],Flashdance… What A Feeling - EP,2010-12-07
Mambo No. 5 (a Little Bit of...),['Lou Bega'],A Little Bit of Mambo,1999-07-19
Sweet Dreams (Are Made of This) - Remastered,"['Eurythmics', 'Annie Lennox', 'Dave Stewart']",Sweet Dreams (Are Made Of This),1983-01-04
Sexy Bitch (feat. Akon),['David Guetta'],Sexy Bitch,2009-08-14
Thunderstruck,['AC/DC'],The Razors Edge,1990-09-24
I Love It (feat. Charli XCX),"['Icona Pop', 'Charli XCX']",I Love It (feat. Charli XCX),2012-06-19
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,"['Lana Del Rey', 'Cedric Gervais']",Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),2013-02-01
Party Rock Anthem,['CDM Project'],Party - 99 Hits,2012-03-21
La Barbacoa,['Georgie Dann'],Para Todos Los Publicos,2001-03-19
Saturday Night - 2012 Remaster,['Whigfield'],Return of the 90s,2012-11-16
Tiburon,['Proyecto Uno'],In Da House,1997
El Amante (feat. Ozuna & Bad Bunny) - Remix,"['Nicky Jam', 'Ozuna', 'Bad Bunny']",El Amante (feat. Ozuna & Bad Bunny) [Remix],2017-06-26
Se Preparó,['Ozuna'],Odisea,2017-08-25
Báilame - Remix,"['Nacho', 'Yandel', 'Bad Bunny', 'Mambo Kingz', 'DJ Luian']",Báilame (Remix),2017-07-31
Mi Cama,['KAROL G'],Mi Cama,2018-05-11
SUBEME LA RADIO REMIX,"['Enrique Iglesias', 'Sean Paul']",SUBEME LA RADIO REMIX,2017-07-23
Bonita,"['J Balvin', 'Jowell & Randy']",Bonita,2017-06-02
Scooby Doo Pa Pa (DJ Kass Official 2018 Mix),['Dj Kass'],Scooby Doo Pa Pa (DJ Kass Official 2018 Mix),2018-03-16
Felices los 4,['Maluma'],Felices los 4,2017-04-21
Ella Me Levanto,['Daddy Yankee'],El Cartel: The Big Boss (Explicit Version),2007-06-04
Don't Start Now,['Dua Lipa'],Don't Start Now,2019-10-31
"Marta, Sebas, Guille y los demás",['Amaral'],Pájaros En La Cabeza,2005-03-14
Livin' la Vida Loca - Spanish Version,['Ricky Martin'],Tu Cara Me Suena,2012-11-06
A Mi Manera,['Siempre Asi'],10 Años Juntos,2001-09-20
Uno más uno son 7,['Fran Perea'],La Chica de la habitacion de al lado,2003-10-20
Toxic,['Britney Spears'],In The Zone,2003-11-13
Hips Don't Lie (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']","Oral Fixation, Vol. 2 (Expanded Edition)",2005-11-28
Mr. Saxobeat - Radio Edit,['Alexandra Stan'],Saxobeats,2011
As Long as You Love Me,['Backstreet Boys'],Backstreet Boys,1996
Don't Stop The Music,['Rihanna'],Good Girl Gone Bad: Reloaded,2008-06-02
Party In The U.S.A.,['Miley Cyrus'],The Time Of Our Lives,2009-01-01
I Gotta Feeling,['Black Eyed Peas'],THE E.N.D. (THE ENERGY NEVER DIES),2009-01-01
Get Right,['Jennifer Lopez'],Rebirth,2005
I Know You Want Me (Calle Ocho),['Pitbull'],Pitbull Starring In Rebelution,2009-08-27
Bailando - English Version,"['Enrique Iglesias', 'Sean Paul', 'Descemer Bueno', 'Gente De Zona']",Greatest Hits,2019-10-04
Like a Prayer,['Madonna'],Celebration (double disc version),2009-09-18
Hung Up,['Madonna'],Confessions on a Dance Floor,2005-11-11
Like a Virgin,['Madonna'],Like a Virgin,1984-11-12
Vogue,['Madonna'],The Immaculate Collection,1990-11-09
Poker Face,['Lady Gaga'],The Fame,2008-01-01
Give Me Everything (feat. Nayer),"['Pitbull', 'AFROJACK', 'Ne-Yo', 'Nayer']",Planet Pit (Deluxe Version),2011-06-17
Feel This Moment (feat. Christina Aguilera),"['Pitbull', 'Christina Aguilera']",Global Warming: Meltdown (Deluxe Version),2012
Timber (feat. Ke$ha),"['Pitbull', 'Kesha']",Global Warming: Meltdown (Deluxe Version),2012
On The Floor - Radio Edit,"['Jennifer Lopez', 'Pitbull']",On The Floor,2011-01-01
Let's Get Loud,['Jennifer Lopez'],On The 6,1999-04-20
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,"['Jennifer Lopez', 'Jadakiss', 'Styles P']",This Is Me...Then,2002
Dinero,"['Jennifer Lopez', 'DJ Khaled', 'Cardi B']",Dinero,2018-05-17
