song_id,song_name,artist_name
4kbj5MwxO1bq9wjT5g9HaA,Shut Up and Dance,WALK THE MOON
0B9x2BRHqj3Qer7biM3pU3,You're The One That I Want - From “Grease”,John Travolta and Olivia Newton-John
68y6OIiE1nDdI1MLQdJNh8,I Want It That Way,Backstreet Boys
5Q0Nhxo0l2bP3pNjpGJwV1,Party In The U.S.A.,Miley Cyrus
4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,One Direction
6JY1IdkZGeIcPegKxjSKeb,Since U Been Gone,Kelly Clarkson
4w3tQBXhn5345eUXDGBWZG,9 to 5,Dolly Parton
1FHNctV68GUNLgXclG2DtR,Dancing in the Moonlight,Toploader
77NNZQSqzLNqh2A9JhLRkg,Don't Stop Believin',Journey
1D1nixOVWOxvNfWi0UD7VX,Unwritten,Natasha Bedingfield
5nPdMALTEd7HOjn16oNf2X,Don't Go Breaking My Heart,Elton John and Kiki Dee
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves
0KpfYajJVVGgQ32Dby7e9i,"Hey, Soul Sister",Train
6ol4ZSifr7r3Lb2a9L5ZAB,Call Me Maybe,Carly Rae Jepsen
5EU1mh0C4Km3k6vGvIDN2J,Summer Of '69,Bryan Adams
6Agiwgwq5BtflpNynGYsUv,Man! I Feel Like A Woman!,Shania Twain
3BJm2KbylyJuzZjRUFXLBJ,Classic,MKTO
01iyCAUm8EvOFqVWYJ3dVX,Dancing Queen,ABBA
4O4Z8VFczL8MxIOmqVWc1b,Footloose,Kenny Loggins
6b5PBL2QNXmAt1DfqbwO9Z,Sweet Caroline,Neil Diamond
5EQzuYfTZt7B2LqlvTF49l,It's All Coming Back to Me Now,Céline Dion
15tHagkk8z306XkyOHqiip,"I'll Be There for You - Theme From ""Friends""",The Rembrandts
7dzUZec5MnWMyQnk5klnKR,Grace Kelly,MIKA
5ztQHTm1YQqcTkQmgDEU4n,Mamma Mia,ABBA
5T7ZFtCcOgkpjxcuaeZbw0,Best Song Ever,One Direction
4FUfoWMypAyWbOavmYyeNu,That Don't Impress Me Much,Shania Twain
2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me),Train
1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,Spice Girls
6epn3r7S14KUqlReYr77hA,Baby,Justin Bieber and Ludacris
4fIWvT19w9PR0VVBuPYpWA,Haven't Met You Yet,Michael Bublé
2xSJiMxoZ9eiqsWhfrdYjs,Islands In The Stream,Kenny Rogers
2RSOzvKUnfDDrb2nQPfpQU,Barbie Girl,Aqua
4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton
4VZDv8sASBS8UruUBGTFdk,Hold On,Wilson Phillips
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside,The Killers
3xKsPtA5XG91Zlh0SyycmM,Come On Eileen,Dexys Midnight Runners
4W4wYHtsrgDiivRASVOINL,Love Shack,The B-52's
58mFu3oIpBa0HLNeJIxsw3,Heaven Is A Place On Earth,Belinda Carlisle
2sCl0FFOzZSmYZs90zOpd1,Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Anna Kendrick
0lzpfrTARexLFXEACKSXTh,I'm Still Standing,Elton John
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC
27L8sESb3KR79asDUBu8nW,Stacy's Mom,Fountains Of Wayne
0lnxrQAd9ZxbhBBe7d8FO8,MMMBop,Hanson
66S14BkJDxgkYxLl5DCqOz,I'm Gonna Be (500 Miles),The Proclaimers
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper
4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling,Black Eyed Peas
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne
2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,LeAnn Rimes
3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),Pitbull and Kesha
2goLsvvODILDzeeiT4dAoR,Believe,Cher
4hq0S6wznq7SHDyMOFXL9i,Tumbling Dice,The Rolling Stones
3uz0O62HqYoyRiWZjS61KK,Detroit Rock City,KISS
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana
3YBZIN3rekqsKxbJc9FZko,Paradise City,Guns N' Roses
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,Queen
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC
2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,Joan Jett & The Blackhearts
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead
1nFtiJxYdhtFfFtfXBv06s,Something In The Way,Nirvana
5MxNLUsfh7uzROypsoO5qe,Dream On,Aerosmith
0J6mQxEZnlRt9ymzFntA6z,Livin' On A Prayer,Bon Jovi
4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Journey
3dPQuX8Gs42Y7b454ybpMR,Seven Nation Army,The White Stripes
40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles
70YvYr2hGlS01bKRIho1HM,La Grange - 2005 Remaster,ZZ Top
7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,David Bowie
3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,Rush
2KmEgiY8fQs0G6WNxtzQKr,Baba O'Riley,The Who
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO
1Ly0ssAgeM7YqdHptao8Oe,Paranoid,Black Sabbath
6IMlcKjsIM3l3yXWykTa3y,Police & Thieves - Remastered,The Clash
3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,Red Hot Chili Peppers
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,AC/DC
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters
2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones
2g7gviEeJr6pyxO7G35EWQ,Paradise By the Dashboard Light,Meat Loaf
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac
54flyrjcdnQdco7300avMJ,We Will Rock You - Remastered 2011,Queen
5BIMPccDwShpXq784RJlJp,Enter Sandman,Metallica
4CJVkjo5WpmUAKp3R44LNb,Sweet Home Alabama,Lynyrd Skynyrd
2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival
63OFKbMaZSDZ4wtesuuq6f,Born To Be Wild,Steppenwolf
