,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0.154,0.735,0,-12.889,1,0.0573,0.441,0.0702,0.645,0.398,133.746,79672,4
1,0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,148.033,222973,4
2,0.259,0.985,1,-2.383,1,0.172,0.0118,0.0,0.267,0.497,177.056,134853,4
3,0.663,0.71,11,-5.55,0,0.0599,0.00745,0.00559,0.147,0.487,120.984,251589,4
4,0.575,0.985,2,-1.038,0,0.0743,0.04,0.0,0.161,0.477,116.006,177960,4
5,0.586,0.707,0,-8.851,1,0.383,0.323,0.00523,0.699,0.902,80.258,207968,4
6,0.553,0.907,9,-5.623,0,0.0484,0.00401,0.0,0.266,0.451,100.967,200693,4
7,0.616,0.8,11,-4.511,0,0.031,0.000144,1.1e-06,0.0812,0.782,125.111,244560,4
8,0.485,0.941,11,-3.55,0,0.0512,0.000847,5.36e-06,0.554,0.794,156.943,192080,4
9,0.421,0.926,10,-7.187,0,0.0403,0.0561,0.000759,0.0276,0.94,128.997,228907,4
10,0.493,0.966,2,-4.273,1,0.118,0.0589,0.0318,0.934,0.334,123.95,227427,4
11,0.411,0.911,10,-5.502,0,0.152,0.0228,4.07e-05,0.384,0.475,137.932,252333,4
12,0.284,0.985,0,-3.39,1,0.0706,0.000319,6.71e-05,0.349,0.691,141.995,386360,4
13,0.859,0.785,6,-8.516,1,0.352,0.46,2.93e-06,0.182,0.801,97.924,179653,4
14,0.288,0.84,2,-8.146,1,0.0609,7.48e-05,0.00112,0.16,0.731,148.701,243427,4
15,0.248,0.984,9,-1.784,0,0.113,0.00336,0.000165,0.218,0.215,126.596,239747,4
16,0.205,0.924,1,-6.672,1,0.0996,0.173,0.0158,0.809,0.433,154.207,264560,4
17,0.29,0.76,8,-8.37,1,0.0427,0.00124,0.924,0.0544,0.477,166.573,506867,3
18,0.475,0.176,9,-14.067,0,0.0373,0.906,0.0698,0.115,0.133,135.996,169920,4
19,0.331,0.814,4,-6.082,0,0.0575,0.000955,0.00669,0.299,0.188,126.994,331320,4
20,0.299,0.959,6,-3.51,0,0.119,0.14,0.122,0.935,0.338,126.374,431573,4
